"","Mz","total"
"1","120101000100100001 ",63
"2","120101000100100002B",104
"3","120101000100100002F",98
"4","120101000100100002H",33
"5","120101000100100002I",41
"6","120101000100100003A",91
"7","120101000100100003B",95
"8","120101000100100004 ",35
"9","120101000100100005C",148
"10","120101000100100005D",77
"11","120101000100100005E",115
"12","120101000100100005F",43
"13","120101000100100005G",197
"14","120101000100100005I",44
"15","120101000100100005J",142
"16","120101000100100005K",44
"17","120101000100100007 ",83
"18","120101000100100008 ",141
"19","120101000100100009 ",108
"20","120101000100100010 ",77
"21","120101000100100011 ",69
"22","120101000100100012 ",67
"23","120101000100100013 ",87
"24","120101000100100014B",62
"25","120101000100100014C",69
"26","120101000100100014D",93
"27","120101000100100015 ",57
"28","120101000100100016 ",57
"29","120101000100100017C",85
"30","120101000100100020 ",45
"31","120101000100100022 ",39
"32","120101000100100023 ",77
"33","120101000100100024A",131
"34","120101000100100025 ",83
"35","120101000100100026 ",93
"36","120101000100100027 ",47
"37","120101000100100028 ",79
"38","120101000100100029 ",78
"39","120101000100100031 ",65
"40","120101000100100032 ",116
"41","120101000100100033A",34
"42","120101000100100034 ",88
"43","120101000100100035A",398
"44","120101000100100036A",71
"45","120101000100100037A",223
"46","120101000100100040 ",133
"47","120101000100100041 ",118
"48","120101000100100042 ",88
"49","120101000100100044 ",112
"50","120101000100100045A",90
"51","120101000100100047A",62
"52","120101000100100048A",58
"53","120101000100100049A",62
"54","120101000100100050 ",36
"55","120101000100100051 ",49
"56","120101000100100053 ",33
"57","120101000100100054 ",41
"58","120101000100100055A",51
"59","120101000100100057 ",80
"60","1201010001001008888",127
"61","120101000100200001 ",47
"62","120101000100200002B",38
"63","120101000100200002D",83
"64","120101000100200004 ",192
"65","120101000100200005 ",111
"66","120101000100200006 ",81
"67","120101000100200008 ",76
"68","120101000100200009 ",82
"69","120101000100200010 ",84
"70","120101000100200011 ",102
"71","120101000100200012 ",76
"72","120101000100200013 ",66
"73","120101000100200014 ",64
"74","120101000100200015C",58
"75","120101000100200016 ",107
"76","120101000100200017 ",332
"77","120101000100200018 ",94
"78","120101000100200019 ",129
"79","120101000100200020E",109
"80","120101000100200020F",134
"81","120101000100200020G",58
"82","120101000100200027A",152
"83","120101000100200028 ",90
"84","120101000100200029 ",43
"85","120101000100200031 ",71
"86","120101000100200033 ",53
"87","120101000100200034 ",116
"88","120101000100200036 ",32
"89","120101000100200037 ",47
"90","120101000100200038 ",172
"91","120101000100200039 ",197
"92","120101000100200040 ",203
"93","120101000100200041 ",190
"94","120101000100200042 ",83
"95","120101000100200043 ",52
"96","120101000100200044 ",103
"97","120101000100200045 ",95
"98","120101000100200046 ",312
"99","120101000100200047A",56
"100","120101000100200047B",91
"101","120101000100200047D",71
"102","120101000100200047E",75
"103","120101000100200048 ",51
"104","120101000100200049 ",83
"105","120101000100200050A",68
"106","1201010001002008888",130
"107","120101000100300001B",135
"108","120101000100300002 ",153
"109","120101000100300003 ",58
"110","120101000100300004 ",48
"111","120101000100300008 ",112
"112","120101000100300009 ",31
"113","120101000100300010 ",71
"114","120101000100300011 ",77
"115","120101000100300012 ",37
"116","120101000100300014B",32
"117","120101000100300014D",55
"118","120101000100300014E",30
"119","120101000100300014K",33
"120","120101000100300014L",325
"121","120101000100300017A",42
"122","120101000100300017B",83
"123","120101000100300017E",74
"124","120101000100300017G",70
"125","120101000100300017H",79
"126","120101000100300017I",66
"127","120101000100300017J",62
