"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"1","120101000100100001 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 001",3,1,29,34,3,5,9,9,6,1,5,5,5,4,3,4,1,0,0,2,1,0,0,0,63
"2","120101000100100002B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 002B",12,1,47,57,13,11,7,6,7,15,16,11,4,3,3,5,2,1,0,0,0,0,0,0,104
"3","120101000100100002F"," Junin","Huancayo","Huancayo","Huancayo","Mza: 002F",6,3,44,54,9,7,5,7,9,10,7,11,6,10,6,2,4,2,2,0,1,0,0,0,98
"4","120101000100100002H"," Junin","Huancayo","Huancayo","Huancayo","Mza: 002H",2,2,18,15,3,1,6,5,5,0,3,3,3,1,0,0,0,2,1,0,0,0,0,0,33
"5","120101000100100002I"," Junin","Huancayo","Huancayo","Huancayo","Mza: 002I",1,1,21,20,5,3,0,2,7,6,5,3,1,1,2,1,2,1,0,1,1,0,0,0,41
"6","120101000100100003A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 003A",10,1,42,49,11,1,3,8,10,9,15,7,7,3,7,3,2,1,2,1,1,0,0,0,91
"7","120101000100100003B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 003B",9,1,51,44,7,7,5,13,11,8,5,8,7,7,6,2,1,1,2,2,2,1,0,0,95
"8","120101000100100004 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 004",4,0,17,18,4,3,4,3,3,1,2,3,4,2,0,0,1,1,2,1,0,0,1,0,35
"9","120101000100100005C"," Junin","Huancayo","Huancayo","Huancayo","Mza: 005C",8,2,72,76,10,14,12,22,16,15,10,9,13,8,7,2,3,1,4,1,0,0,1,0,148
"10","120101000100100005D"," Junin","Huancayo","Huancayo","Huancayo","Mza: 005D",2,1,43,34,5,5,7,10,9,9,2,6,5,9,1,4,0,3,0,1,1,0,0,0,77
"11","120101000100100005E"," Junin","Huancayo","Huancayo","Huancayo","Mza: 005E",7,0,51,64,10,8,16,13,13,6,15,10,6,4,5,1,3,3,1,1,0,0,0,0,115
"12","120101000100100005F"," Junin","Huancayo","Huancayo","Huancayo","Mza: 005F",2,2,21,22,5,2,5,5,8,3,2,2,3,0,3,2,2,0,0,0,0,1,0,0,43
"13","120101000100100005G"," Junin","Huancayo","Huancayo","Huancayo","Mza: 005G",42,6,87,110,16,16,20,21,12,16,10,15,15,25,14,9,5,1,0,1,0,0,1,0,197
